user_id,age,country,geo_loc,lat,long,isbn,book_title,book_author,year_pub,book_rating,image_url_l
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0312953453,Blood Oath,David Morrell,1994,7,http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0446608653,The Alibi,Sandra Brown,2000,9,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0446612545,The Beach House,James Patterson,2003,9,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0446612618,A Kiss Remembered,Sandra Brown,2003,8,http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0451208080,The Short Forever,Stuart Woods,2003,8,http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0553584383,Dead Aim,IRIS JOHANSEN,2004,9,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg
114,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0671027360,Angels &amp; Demons,Dan Brown,2001,10,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
165,62,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,9,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
332,59,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,6,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg
362,63,canada,"61.0666922, -107.991707",61.0666922,-107.991707,0446606197,Killer Market (Deborah Knott Mysteries (Paperback)),Margaret Maron,1999,7,http://images.amazon.com/images/P/0446606197.01.LZZZZZZZ.jpg
499,62,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0743412621,The Second Time Around : A Novel,Mary Higgins Clark,2004,10,http://images.amazon.com/images/P/0743412621.01.LZZZZZZZ.jpg
739,55,usa,"39.7837304, -100.445882",39.7837304,-100.445882,1558505377,Jacob Marley's Christmas Carol,Tom Mula,1995,9,http://images.amazon.com/images/P/1558505377.01.LZZZZZZZ.jpg
782,57,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0975311255,A Temporary New Wife,Malcolm Goodway,2004,10,http://images.amazon.com/images/P/0975311255.01.LZZZZZZZ.jpg
938,55,canada,"61.0666922, -107.991707",61.0666922,-107.991707,0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,9,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg
1009,56,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0399149759,Flashback,Nevada Barr,2003,8,http://images.amazon.com/images/P/0399149759.01.LZZZZZZZ.jpg
1009,56,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0451181468,Praying for Sleep,Jeffery Deaver,1995,9,http://images.amazon.com/images/P/0451181468.01.LZZZZZZZ.jpg
1009,56,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0671028375,Fatal Voyage,Kathy Reichs,2002,10,http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg
1355,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,1931646384,Never Act Your Age: Play the Happy Childlike Role Well at Every Age,Dale L. Anderson,2002,9,http://images.amazon.com/images/P/1931646384.01.LZZZZZZZ.jpg
1409,74,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0061093106,"Red, White and Blue : A Novel",Susan Isaacs,1999,8,http://images.amazon.com/images/P/0061093106.01.LZZZZZZZ.jpg
1409,74,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0373218192,Engaging The Enemy,Nora Roberts,2003,8,http://images.amazon.com/images/P/0373218192.01.LZZZZZZZ.jpg
1409,74,usa,"39.7837304, -100.445882",39.7837304,-100.445882,042517736X,Abduction,Robin Cook,2000,9,http://images.amazon.com/images/P/042517736X.01.LZZZZZZZ.jpg
1409,74,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0440208912,Harvest,BELVA PLAIN,1991,8,http://images.amazon.com/images/P/0440208912.01.LZZZZZZZ.jpg
1409,74,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0515120006,Holding the Dream (Dream Trilogy),Nora Roberts,2001,6,http://images.amazon.com/images/P/0515120006.01.LZZZZZZZ.jpg
1448,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0679459626,Flesh and Blood,Jonathan Kellerman,2001,6,http://images.amazon.com/images/P/0679459626.01.LZZZZZZZ.jpg
1519,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0671028375,Fatal Voyage,Kathy Reichs,2002,8,http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg
1535,69,usa,"39.7837304, -100.445882",39.7837304,-100.445882,006017935X,Hill Towns,Anne Rivers Siddons,1993,7,http://images.amazon.com/images/P/006017935X.01.LZZZZZZZ.jpg
1535,69,usa,"39.7837304, -100.445882",39.7837304,-100.445882,067976402X,Snow Falling on Cedars,David Guterson,1995,10,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg
1558,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,006105660X,"Washington's Dirigible (Timeline Wars/John Barnes, No 2)",John Barnes,1997,10,http://images.amazon.com/images/P/006105660X.01.LZZZZZZZ.jpg
1558,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0374281602,Reversible Errors: A Novel,Scott Turow,2002,9,http://images.amazon.com/images/P/0374281602.01.LZZZZZZZ.jpg
1558,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0425167720,An Instance of the Fingerpost,Iain Pears,1999,7,http://images.amazon.com/images/P/0425167720.01.LZZZZZZZ.jpg
1558,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0446519960,Absolute Power,David Baldacci,1996,10,http://images.amazon.com/images/P/0446519960.01.LZZZZZZZ.jpg
1558,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0609610597,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,10,http://images.amazon.com/images/P/0609610597.01.LZZZZZZZ.jpg
1558,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0671698419,BORDERS OF INFINITY,Lois McMaster Bujold,1989,10,http://images.amazon.com/images/P/0671698419.01.LZZZZZZZ.jpg
2115,55,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0515120618,Montana Sky,Nora Roberts,2000,7,http://images.amazon.com/images/P/0515120618.01.LZZZZZZZ.jpg
2296,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0399144137,Rainbow Six,Tom Clancy,1998,8,http://images.amazon.com/images/P/0399144137.01.LZZZZZZZ.jpg
2296,61,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0743436741,The Lions of Lucerne,Brad Thor,2002,7,http://images.amazon.com/images/P/0743436741.01.LZZZZZZZ.jpg
2305,71,united kingdom,"54.7023545, -3.2765753",54.7023545,-3.2765753,0609600567,Road Rage,Ruth Rendell,1997,7,http://images.amazon.com/images/P/0609600567.01.LZZZZZZZ.jpg
2345,55,united kingdom,"54.7023545, -3.2765753",54.7023545,-3.2765753,1844262553,Free,Paul Vincent,2003,9,http://images.amazon.com/images/P/1844262553.01.LZZZZZZZ.jpg
2388,64,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,6,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
2461,59,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0446363170,Cape Cod,William Martin,1992,9,http://images.amazon.com/images/P/0446363170.01.LZZZZZZZ.jpg
2461,59,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0553562967,Bellwether,Connie Willis,1997,7,http://images.amazon.com/images/P/0553562967.01.LZZZZZZZ.jpg
2630,66,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0394541545,Texas,James A. Michener,1990,8,http://images.amazon.com/images/P/0394541545.01.LZZZZZZZ.jpg
2630,66,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0684823780,Mere Christianity,C. S. Lewis,1996,8,http://images.amazon.com/images/P/0684823780.01.LZZZZZZZ.jpg
2630,66,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0800758358,"The Stranger from Medina: A Novel (Bagdon, Paul. West Texas Sunrise, Bk. 3.)",Paul Bagdon,2003,8,http://images.amazon.com/images/P/0800758358.01.LZZZZZZZ.jpg
2935,59,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0684846861,IN THE LAND OF MEN: STORIES,Antonya Nelson,1999,6,http://images.amazon.com/images/P/0684846861.01.LZZZZZZZ.jpg
2935,59,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0761521097,Today I Will Indulge My Inner Glutton: Health-Free Affirmations for Cynics,Ann Thornhill,1999,8,http://images.amazon.com/images/P/0761521097.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0060183527,Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,1999,7,http://images.amazon.com/images/P/0060183527.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0060973129,Decision in Normandy,Carlo D'Este,1991,8,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,031224116X,Murder on the Mauretania (George Porter Dillman and Genevieve Masefield Mysteries),Conrad Allen,2000,8,http://images.amazon.com/images/P/031224116X.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0380973499,War's End: An Eyewitness Account of America's Last Atomic Mission,Charles W. Sweeney,1997,7,http://images.amazon.com/images/P/0380973499.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0385319622,"American Chica: Two Worlds, One Childhood",Marie Arana,2001,9,http://images.amazon.com/images/P/0385319622.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0440235502,October Sky: A Memoir,Homer Hickam,1999,10,http://images.amazon.com/images/P/0440235502.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0440236304,Currahee!:  A Screaming Eagle at Normandy,Donald R. Burgett,2000,7,http://images.amazon.com/images/P/0440236304.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0743201981,Always Faithful : A Memoir of the Marine Dogs of WWII,William W. Putney,2001,6,http://images.amazon.com/images/P/0743201981.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0767908244,German Boy: A Child in War,WOLFGANG SAMUEL,2001,8,http://images.amazon.com/images/P/0767908244.01.LZZZZZZZ.jpg
2954,71,usa,"39.7837304, -100.445882",39.7837304,-100.445882,0804100039,"If You Survive: From Normandy to the Battle of the Bulge to the End of World War II, One American Officer's Riveting True Story",George Wilson,1987,6,http://images.amazon.com/images/P/0804100039.01.LZZZZZZZ.jpg
